car type ,made in ,number of cars in jordan ,car age ,part ,failure rate ,price of the car ,original/imitator,new\used,selling location,service location (repair shop/automotive company,repair or replacement cost ,car total maintenance cost average,critically  ,on line price ,demand
3,2,3800,6,30,0.01,11500,1,0,2,1,15,5500,0.0743,100,0.38
3,2,1523,3,15,0.01,15300,1,1,3,2,150,5500,0.1135,140,0.1523
2,3,2098,4,4,0.1724,16000,0,1,2,1,10,9100,0.1244,24.535,3.616952
3,2,5864,8,23,0.08,10450,1,1,3,2,40,5500,0.07,328,4.6912
4,1,874,2,12,0.263157895,20000,1,1,3,1,10,8200,0.1297,71,2.3
3,2,1562,4,32,0.05,14800,1,1,3,1,25,5500,0.0525,1200,0.781
1,2,1516,5,15,0.166666667,16800,1,0,2,1,100,5500,0.1135,97.439,2.526666667
1,2,4414,8,24,0.0862,12500,1,1,3,2,20,5500,0.1275,99.542,3.804868
2,3,5772,7,32,0.7168,14000,1,0,1,1,20,9100,0.0525,100,41.373696
1,2,550,4,4,0.1724,17400,1,1,2,1,10,5500,0.1244,42.06,0.9482
3,2,5937,7,20,0.28,11050,1,1,3,1,25,5500,0.1143,184,16.6236
2,3,686,1,7,0.0831,19500,1,0,1,1,10,9100,0.0511,35.05,0.570066
3,2,4549,9,12,0.1,9900,1,1,3,2,30,5500,0.1297,70,4.549
2,3,7212,6,12,0.0896,15500,1,1,3,1,15,9100,0.1297,71,6.461952
3,2,3571,11,13,0.4,8500,1,0,1,1,10,5500,0.0951,21.03,14.284
1,2,550,4,8,0.086206897,17400,1,1,3,1,10,5500,0.0924,37.153,0.474137931
1,2,792,1,35,0.166666667,25200,1,1,2,1,40,5500,0.0618,3370.408,1.32
4,1,5457,8,1,0.448,11900,0,1,1,1,0,8200,0.0229,2,24.44736
3,2,814,13,13,0.4,7500,1,0,1,1,10,5500,0.0951,21.03,3.256
2,3,2757,5,30,0.172413793,16000,1,0,1,1,15,9100,0.0743,150,4.753448276
3,2,273,14,21,0.1,7050,0,1,2,1,20,5500,0.1104,98.14,0.273
2,3,2098,4,33,0.0831,16000,1,0,1,1,40,9100,0.0554,200,1.743438
2,3,3221,2,9,0.0831,17500,0,1,2,1,10,9100,0.06,40,2.676651
1,2,747,3,31,0.25862069,19300,1,1,3,1,30,5500,0.0996,171.044,1.931896552
1,2,5071,11,35,0.2579,9300,1,1,2,1,40,5500,0.0618,3180,13.078109
3,2,3995,5,30,0.01,13000,1,1,3,1,15,5500,0.0743,204,0.3995
4,1,874,2,20,0.344827586,20000,1,1,3,1,25,8200,0.1143,246,3.013793103
3,2,1562,4,13,0.07,14800,0,1,2,1,10,5500,0.0951,35.05,1.0934
4,1,2392,5,23,0.263157895,13800,1,1,3,1,15,8200,0.07,220,6.294736842
2,3,5772,7,30,0.172413793,14000,1,0,2,1,15,9100,0.0743,150,9.951724138
4,1,2632,6,15,0.065789474,13700,1,1,3,2,50,8200,0.1135,124,1.731578947
3,2,698,15,22,0.8,6600,1,1,3,2,10,5500,0.1233,24,5.584
2,3,1368,8,33,0.3584,12500,1,1,3,2,50,9100,0.0554,255,4.902912
1,2,5071,11,17,0.1719,9300,1,1,3,2,20,5500,0.1275,110,8.717049
3,2,9315,10,30,0.01,9700,1,1,3,1,15,5500,0.0743,204,0.9315
2,3,1368,8,3,0.2688,12500,1,1,3,2,60,9100,0.0563,17,3.677184
4,1,874,2,9,0.263157895,20000,1,0,1,1,15,8200,0.06,20,2.3
1,2,2315,9,5,0.1719,12000,1,0,2,1,10,5500,0.1053,37.854,3.979485
3,2,457,2,5,0.69,17400,1,1,3,1,10,5500,0.1053,39,3.1533
1,2,4414,8,20,0.7738,12500,1,0,1,1,15,5500,0.1143,90,34.155532
2,3,2757,5,6,0.470559211,16000,0,1,1,1,10,9100,0.1249,24,12.97331743
2,3,2009,10,10,0.985663082,11900,0,1,1,1,10,9100,0.2342,40,19.80197133
2,3,5772,7,14,0.1108,14000,1,0,2,1,15,9100,0.1249,42.06,6.395376
3,2,3571,11,32,0.4,8500,1,0,1,1,20,5500,0.0525,200,14.284
3,2,26,1,34,0.11,18400,1,1,3,1,35,5500,0.1934,1808,0.0286
1,2,1800,13,18,0.4299,8300,1,1,3,1,10,5500,0.1417,160,7.7382
4,1,5457,8,15,0.065789474,11900,1,0,2,1,50,8200,0.1135,50,3.590131579
1,2,1516,5,20,0.344827586,16800,0,1,2,1,15,5500,0.1143,65,5.227586207
2,3,686,1,31,0.0896,19500,1,0,2,1,30,9100,0.0996,178.054,0.614656
3,2,1523,3,4,0.1,15300,1,1,3,1,10,5500,0.12,56.08,1.523
2,3,2098,4,4,0.1724,16000,0,1,1,1,10,9100,0.1244,24.535,3.616952
1,2,2213,6,21,0.431034483,15500,1,0,2,1,20,5500,0.1104,84.12,9.538793103
2,3,1604,9,12,0.0896,12400,1,1,3,1,15,9100,0.1297,51,1.437184
1,2,350,2,26,0.166666667,23100,1,1,2,1,20,5500,0.0662,506.122,0.583333333
3,2,4549,9,33,0.1,9900,1,0,2,1,40,5500,0.0554,600,4.549
2,3,1368,8,4,0.1724,12500,0,1,1,1,10,9100,0.1244,24.535,2.358432
4,1,874,2,35,0.394736842,20000,1,1,3,1,40,8200,0.0618,1445,3.45
1,2,350,2,6,0.927083333,23100,1,1,3,1,10,5500,0.1249,50.472,3.244791667
1,2,4414,8,35,0.2579,12500,1,0,1,1,40,5500,0.0618,400,11.383706
3,2,3571,11,6,0.8,8500,1,1,3,2,20,5500,0.1249,15,28.568
1,2,2031,10,31,0.1719,10700,1,1,3,1,30,5500,0.0996,171.044,3.491289
1,2,550,4,31,0.25862069,17400,0,1,2,1,30,5500,0.0996,70.1,1.422413793
1,2,4414,8,32,0.001,12500,1,1,1,1,20,5500,0.0525,777,0.04414
1,2,1800,13,11,0.4299,8300,1,1,1,1,15,5500,0.0552,90,7.7382
2,3,2009,10,22,0.2688,11900,1,1,3,2,20,9100,0.1233,54,5.400192
3,2,698,15,6,0.8,6600,0,1,2,1,10,5500,0.1249,14.02,5.584
3,2,457,2,31,0.07,17400,1,0,2,1,40,5500,0.0996,170,0.3199
2,3,7212,6,3,0.2688,15500,1,1,3,1,40,9100,0.0563,60,19.385856
2,3,1368,8,32,0.7168,12500,1,0,1,1,20,9100,0.0525,100,9.805824
3,2,5937,7,34,0.11,11050,1,0,2,1,35,5500,0.1934,1706,6.5307
1,2,1516,5,5,0.1724,16800,1,0,2,1,10,5500,0.1053,37.854,2.613584
3,2,814,13,10,0.6,7500,1,1,3,1,10,5500,0.2342,100,4.884
3,2,273,14,3,0.4,7050,1,0,1,1,5,5500,0.0563,25,1.092
3,2,9315,10,18,0.8,9700,1,0,1,1,20,5500,0.1417,50,74.52
1,2,2315,9,4,0.1719,12000,0,1,2,1,10,5500,0.1244,24.535,3.979485
4,1,1289,9,27,0.065789474,11500,1,0,1,1,30,8200,0.4333,200,0.848026316
1,2,1924,12,17,0.1719,8700,1,1,3,1,10,5500,0.1275,110,3.307356
2,3,3221,2,12,0.0896,17500,0,1,2,1,15,9100,0.1297,40,2.886016
2,3,2009,10,7,0.1792,11900,1,1,1,1,10,9100,0.0511,41,3.600128
3,2,1562,4,5,0.69,14800,1,1,3,2,10,5500,0.1053,39,10.7778
2,3,2009,10,17,0.0831,11900,1,1,1,1,10,9100,0.1275,103.748,1.669479
4,1,1055,3,34,0.263157895,15700,1,0,2,1,30,8200,0.1934,1500,2.776315789
2,3,107371,3,30,0.172413793,17000,1,1,3,1,15,9100,0.0743,220,185.1224138
3,2,3800,6,3,0.3,11500,1,0,2,1,5,5500,0.0563,25,11.4
3,2,273,14,7,0.2,7050,1,0,2,1,5,5500,0.0511,30,0.546
3,2,698,15,12,0.8,6600,1,0,2,1,10,5500,0.1297,30,5.584
3,2,3800,6,14,0.7,11500,0,1,1,1,15,5500,0.1249,42.06,26.6
2,3,2009,10,24,0.0896,11900,1,0,1,1,20,9100,0.1275,140.2,1.800064
2,3,1368,8,13,0.0896,12500,1,1,2,1,10,9100,0.0951,122,1.225728
2,3,1604,9,30,0.172413793,12400,1,0,2,1,15,9100,0.0743,150,2.765517241
2,3,2098,4,7,0.0831,16000,1,1,3,1,10,9100,0.0511,59,1.743438
1,2,747,3,25,0.1719,19300,1,1,3,1,10,5500,0.0342,250,1.284093
3,2,814,13,10,0.6,7500,1,1,3,2,20,5500,0.2342,100,4.884
2,3,1604,9,33,0.3584,12400,1,1,3,1,40,9100,0.0554,255,5.748736
3,2,814,13,22,0.8,7500,1,0,2,1,5,5500,0.1233,24,6.512
1,2,2031,10,5,0.1719,10700,1,1,3,2,20,5500,0.1053,39,3.491289
3,2,3003,12,16,0.2,7950,1,1,3,2,30,5500,0.0912,45,6.006
2,3,2009,10,6,1.064429012,11900,0,1,2,1,10,9100,0.1249,24,21.38437886
3,2,26,1,6,0.85,18400,0,1,2,1,10,5500,0.1249,14.02,0.221
1,2,4414,8,7,0.166666667,12500,1,0,2,1,10,5500,0.0511,20,7.356666667
3,2,457,2,32,0.05,17400,1,1,3,1,25,5500,0.0525,1200,0.2285
1,2,1924,12,18,0.4299,8700,1,1,3,2,20,5500,0.1417,160,8.271276
2,3,5772,7,7,0.0831,14000,1,1,3,2,15,9100,0.0511,59,4.796532
1,2,2213,6,22,0.166666667,15500,1,0,2,1,40,5500,0.1233,40,3.688333333
1,2,1516,5,13,0.0859,16800,1,1,3,1,10,5500,0.0951,39.957,1.302244
4,1,2632,6,33,0.789473684,13700,1,1,3,2,50,8200,0.0554,869,20.77894737
1,2,5071,11,17,0.1719,9300,0,1,1,1,10,5500,0.1275,45,8.717049
1,2,747,3,7,0.166666667,19300,1,1,3,2,15,5500,0.0511,52.575,1.245
2,3,1604,9,35,0.0896,12400,1,0,2,1,40,9100,0.0618,487.195,1.437184
3,2,273,14,14,0.8,7050,1,0,2,1,15,5500,0.1249,33,2.184
3,2,9315,10,9,0.17,9700,0,1,2,1,10,5500,0.06,35.05,15.8355
1,2,2315,9,18,0.4299,12000,1,0,2,1,10,5500,0.1417,50,9.952185
4,1,874,2,29,0.0277,20000,1,0,2,1,50,8200,0.1151,150,0.242098
3,2,3995,5,22,0.8,13000,1,1,3,1,5,5500,0.1233,60,31.96
1,2,1951,7,4,0.1724,14300,0,1,1,1,10,5500,0.1244,24.535,3.363524
2,3,2009,10,4,0.1724,11900,1,0,2,1,10,9100,0.1244,21.03,3.463516
1,2,1951,7,9,0.25862069,14300,1,0,2,1,10,5500,0.06,53.276,5.045689655
3,2,3995,5,25,0.1719,13000,1,0,1,1,10,5500,0.0342,100,6.867405
3,2,26,1,14,0.7,18400,1,1,3,2,50,5500,0.1249,91.23,0.182
4,1,1289,9,35,0.394736842,11500,1,1,3,1,40,8200,0.0618,1853,5.088157895
2,3,686,1,13,0.0831,19500,0,1,2,1,10,9100,0.0951,200,0.570066
3,2,1523,3,22,0.8,15300,1,0,2,1,5,5500,0.1233,108,12.184
3,2,9315,10,22,0.8,9700,1,1,3,1,5,5500,0.1233,60,74.52
1,2,1800,13,9,0.3439,8300,0,1,1,1,10,5500,0.06,30,6.1902
2,3,2009,10,14,0.2688,11900,1,1,1,1,15,9100,0.1249,89.027,5.400192
1,2,2031,10,11,0.4299,10700,1,0,1,1,15,5500,0.0552,40,8.731269
3,2,3571,11,4,0.4,8500,1,0,2,1,10,5500,0.12,21.03,14.284
4,1,1289,9,20,0.344827586,11500,1,1,3,1,20,8200,0.1143,285,4.444827586
2,3,2009,10,21,0.2688,11900,1,1,3,2,40,9100,0.1104,35,5.400192
1,2,1800,13,19,0.4299,8300,1,1,3,2,20,5500,0.1417,130,7.7382
1,2,792,1,36,0.172413793,25200,1,0,1,1,120,5500,0.1,1752.5,1.365517241
2,3,2757,5,20,0.344827586,16000,1,1,3,2,30,9100,0.1143,182,9.506896552
3,2,5937,7,6,0.47,11050,1,1,3,1,10,5500,0.1249,50.472,27.9039
2,3,686,1,25,0.0277,19500,1,0,2,1,10,9100,0.0342,100,0.190022
4,1,2720,7,32,0.263157895,12000,1,0,1,1,20,8200,0.0525,80,7.157894737
2,3,2098,4,30,0.172413793,16000,1,1,3,2,30,9100,0.0743,220,3.617241379
3,2,273,14,20,0.6,7050,1,0,2,1,20,5500,0.1143,30,1.638
1,2,1924,12,25,0.1719,8700,1,0,2,1,10,5500,0.0342,100,3.307356
3,2,9315,10,25,0.1719,9700,1,0,2,1,10,5500,0.0342,100,16.012485
1,2,792,1,24,0.0862,25200,1,1,3,1,10,5500,0.1275,233.433,0.682704
4,1,1055,3,12,0.263157895,15700,1,1,3,1,10,8200,0.1297,71,2.776315789
4,1,2392,5,33,0.789473684,13800,1,0,1,1,30,8200,0.0554,200,18.88421053
2,3,2098,4,5,0.0554,16000,1,0,2,1,10,9100,0.1053,30,1.162292
1,2,350,2,24,0.0862,23100,1,1,2,1,10,5500,0.1275,233.433,0.3017
1,2,1951,7,33,0.172413793,14300,1,1,3,2,50,5500,0.0554,1073.231,3.363793103
3,2,814,13,21,0.1,7500,1,0,2,1,20,5500,0.1104,70,0.814
1,2,1800,13,13,0.0859,8300,1,1,3,1,10,5500,0.0951,39.957,1.5462
4,1,2632,6,6,0.858333333,13700,1,1,3,1,10,8200,0.1249,33,22.59133333
2,3,2757,5,21,0.0831,16000,1,0,1,1,20,9100,0.1104,35,2.291067
4,1,2632,6,36,0.026315789,13700,1,0,1,1,150,8200,0.1,1000,0.692631579
3,2,1562,4,36,0.001,14800,1,1,3,1,100,5500,0.1,6120,0.01562
1,2,747,3,36,0.172413793,19300,1,0,1,1,120,5500,0.1,1402,1.287931034
4,1,1055,3,22,0.131578947,15700,1,1,3,1,10,8200,0.1233,187,1.388157895
4,1,2632,6,14,0.263157895,13700,1,0,2,1,15,8200,0.1249,40,6.926315789
2,3,1604,9,10,0.985663082,12400,1,1,3,2,20,9100,0.2342,60,15.81003584
1,2,2031,10,6,0.645833333,10700,1,1,1,1,10,5500,0.1249,15,13.116875
2,3,1368,8,5,0.0896,12500,1,0,2,1,10,9100,0.1053,30,1.225728
3,2,1562,4,3,0.3,14800,1,0,1,1,5,5500,0.0563,30,4.686
1,2,5071,11,6,0.645833333,9300,1,1,3,1,10,5500,0.1249,15,32.75020833
4,1,146,1,20,0.344827586,20500,1,0,1,1,25,8200,0.1143,100,0.503448276
4,1,2632,6,26,0.0896,13700,1,1,3,2,60,8200,0.0662,150,2.358272
4,1,5457,8,15,0.065789474,11900,1,0,1,1,50,8200,0.1135,50,3.590131579
1,2,2031,10,17,0.1719,10700,1,1,2,1,10,5500,0.1275,110,3.491289
2,3,3221,2,16,0.0554,17500,1,0,2,1,10,9100,0.0912,60,1.784434
2,3,7212,6,5,0.0554,15500,1,1,2,1,10,9100,0.1053,50,3.995448
4,1,1289,9,6,0.858333333,11500,1,1,3,1,10,8200,0.1249,33,11.06391667
4,1,874,2,26,0.0896,20000,1,1,3,1,30,8200,0.0662,253,0.783104
1,2,5071,11,16,0.0859,9300,1,0,2,1,10,5500,0.0912,60,4.355989
3,2,9315,10,11,0.02,9700,1,1,3,2,50,5500,0.0552,152,1.863
2,3,2757,5,29,0.0277,16000,1,1,3,2,70,9100,0.1151,200,0.763689
4,1,1841,4,18,0.526315789,15000,1,0,2,1,20,8200,0.1417,110,9.689473684
3,2,698,15,32,0.4,6600,1,0,2,1,20,5500,0.0525,200,2.792
1,2,2315,9,17,0.1719,12000,0,1,2,1,10,5500,0.1275,45,3.979485
2,3,3221,2,30,0.172413793,17500,1,0,2,1,15,9100,0.0743,150,5.553448276
1,2,747,3,2,1.874117232,19300,1,1,3,2,10,5500,0.03,10,13.99965572
4,1,2720,7,14,0.263157895,12000,1,1,3,2,30,8200,0.1249,43,7.157894737
4,1,1289,9,31,0.0896,11500,1,0,1,1,35,8200,0.0996,100,1.154944
2,3,7212,6,21,0.0831,15500,0,1,2,1,20,9100,0.1104,35,5.993172
3,2,26,1,36,0.001,18400,1,1,3,1,100,5500,0.1,6120,0.00026
4,1,1289,9,14,0.263157895,11500,1,0,1,1,15,8200,0.1249,40,3.392105263
3,2,5864,8,13,0.07,10450,1,1,3,2,20,5500,0.0951,39.957,4.1048
2,3,686,1,3,0.2688,19500,1,1,3,2,60,9100,0.0563,60,1.843968
2,3,107371,3,27,0.0277,17000,1,0,2,1,20,9100,0.4333,200,29.741767
3,2,3800,6,7,0.2,11500,1,0,2,1,5,5500,0.0511,30,7.6
3,2,3003,12,13,0.4,7950,0,1,2,1,10,5500,0.0951,35.05,12.012
4,1,5457,8,16,0.328947368,11900,1,1,3,2,40,8200,0.0912,152,17.95065789
2,3,2009,10,36,0.3584,11900,1,1,3,2,250,9100,0.1,10701.466,7.200256
3,2,26,1,13,0.07,18400,1,1,3,2,20,5500,0.0951,39.957,0.0182
4,1,2392,5,20,0.344827586,13800,1,1,3,1,20,8200,0.1143,285,8.248275862
1,2,1800,13,15,0.166666667,8300,1,1,3,2,150,5500,0.1135,15,3
3,2,273,14,19,0.11,7050,1,0,2,1,15,5500,0.1417,70,0.3003
3,2,1562,4,21,0.07,14800,0,1,2,1,20,5500,0.1104,119.17,1.0934
3,2,1562,4,29,0.001,14800,1,1,3,2,100,5500,0.1151,71,0.01562
1,2,2213,6,16,0.25862069,15500,1,1,3,2,20,5500,0.0912,180.157,5.723275862
1,2,1800,13,23,0.0859,8300,1,0,1,1,15,5500,0.07,90,1.5462
1,2,2213,6,26,0.25862069,15500,1,0,2,1,20,5500,0.0662,105.15,5.723275862
1,2,747,3,11,0.25862069,19300,1,0,2,1,15,5500,0.0552,28.04,1.931896552
4,1,2632,6,9,0.263157895,13700,1,1,3,2,20,8200,0.06,27,6.926315789
1,2,350,2,35,0.166666667,23100,1,0,2,1,40,5500,0.0618,487.195,0.583333333
1,2,1951,7,9,0.25862069,14300,0,1,2,1,10,5500,0.06,35.05,5.045689655
3,2,3800,6,22,0.8,11500,1,1,3,2,10,5500,0.1233,60,30.4
1,2,350,2,13,0.0859,23100,1,1,2,1,10,5500,0.0951,39.957,0.30065
3,2,1523,3,10,0.13,15300,1,1,3,1,10,5500,0.2342,100,1.9799
1,2,550,4,24,0.0862,17400,1,1,1,1,10,5500,0.1275,99.542,0.4741
1,2,5071,11,12,0.4299,9300,1,1,3,1,15,5500,0.1297,85,21.800229
4,1,1841,4,14,0.263157895,15000,1,0,1,1,15,8200,0.1249,40,4.844736842
2,3,2009,10,21,0.2688,11900,0,1,1,1,20,9100,0.1104,35,5.400192
2,3,2098,4,11,0.0554,16000,1,1,3,2,30,9100,0.0552,86,1.162292
3,2,273,14,25,0.1719,7050,1,1,3,1,10,5500,0.0342,250,0.469287
3,2,1562,4,14,0.7,14800,0,1,1,1,15,5500,0.1249,42.06,10.934
1,2,2213,6,21,0.431034483,15500,1,1,3,2,40,5500,0.1104,182.26,9.538793103
3,2,1523,3,3,0.3,15300,1,0,1,1,5,5500,0.0563,30,4.569
4,1,1289,9,36,0.026315789,11500,1,0,2,1,150,8200,0.1,1000,0.339210526
3,2,1523,3,22,0.8,15300,1,1,3,2,10,5500,0.1233,108,12.184
1,2,1951,7,8,0.086206897,14300,1,1,2,1,10,5500,0.0924,37.153,1.681896552
3,2,1523,3,21,0.08,15300,1,1,3,2,50,5500,0.1104,240,1.2184
1,2,792,1,32,0.001,25200,1,1,3,1,20,5500,0.0525,329.47,0.00792
1,2,1924,12,2,3.229166667,8700,0,1,2,1,3,5500,0.03,7,62.12916667
1,2,2031,10,2,3.229166667,10700,0,1,2,1,3,5500,0.03,7,65.584375
2,3,2098,4,12,0.0896,16000,1,1,3,1,15,9100,0.1297,71,1.879808
4,1,1841,4,27,0.065789474,15000,1,0,2,1,30,8200,0.4333,200,1.211184211
3,2,698,15,28,0.8,6600,1,0,2,1,40,5500,0.107,100,5.584
4,1,5457,8,19,0.328947368,11900,1,1,3,2,30,8200,0.1417,100,17.95065789
3,2,3800,6,26,0.13,11500,1,1,3,2,40,5500,0.0662,230,4.94
4,1,2632,6,27,0.065789474,13700,1,1,3,1,30,8200,0.4333,414,1.731578947
1,2,350,2,23,0.172413793,23100,1,1,3,2,30,5500,0.07,700,0.603448276
3,2,1562,4,22,0.8,14800,1,1,3,1,5,5500,0.1233,108,12.496
2,3,5772,7,34,0.0277,14000,1,0,1,1,35,9100,0.1934,500,1.598844
3,2,9315,10,15,0.01,9700,1,1,3,2,150,5500,0.1135,140,0.9315
4,1,874,2,23,0.263157895,20000,1,0,1,1,15,8200,0.07,100,2.3
2,3,2098,4,12,0.0896,16000,0,1,2,1,15,9100,0.1297,40,1.879808
1,2,1951,7,21,0.431034483,14300,1,0,2,1,20,5500,0.1104,84.12,8.409482759
3,2,814,13,15,0.01,7500,1,0,1,1,100,5500,0.1135,80,0.0814
2,3,7212,6,12,0.0896,15500,1,1,3,2,30,9100,0.1297,71,6.461952
4,1,146,1,15,0.065789474,20500,1,0,1,1,50,8200,0.1135,50,0.096052632
1,2,1516,5,26,0.25862069,16800,1,1,1,1,20,5500,0.0662,207.496,3.920689655
1,2,747,3,21,0.431034483,19300,1,0,2,1,20,5500,0.1104,84.12,3.219827586
