car type ,made in ,number of cars in jordan ,car age ,part ,failure rate ,price of the car ,original/imitator,new\used,selling location,service location (repair shop/automotive company,repair or replacement cost ,car total maintenance cost average,critically  ,online price ,price 
3,2,3800,6,30,0.01,11500,1,0,2,1,15,5500,0.0743,100,150
3,2,1523,3,15,0.01,15300,1,1,3,2,150,5500,0.1135,140,181
2,3,2098,4,4,0.1724,16000,0,1,2,1,10,9100,0.1244,24.535,20
3,2,5864,8,23,0.08,10450,1,1,3,2,40,5500,0.07,328,227
4,1,874,2,12,0.263157895,20000,1,1,3,1,10,8200,0.1297,71,120
3,2,1562,4,32,0.05,14800,1,1,3,1,25,5500,0.0525,1200,1379
1,2,1516,5,15,0.166666667,16800,1,0,2,1,100,5500,0.1135,97.439,70
1,2,4414,8,24,0.0862,12500,1,1,3,2,20,5500,0.1275,99.542,104.48
2,3,5772,7,32,0.7168,14000,1,0,1,1,20,9100,0.0525,100,50
1,2,550,4,4,0.1724,17400,1,1,2,1,10,5500,0.1244,42.06,40
3,2,5937,7,20,0.28,11050,1,1,3,1,25,5500,0.1143,184,204
2,3,686,1,7,0.0831,19500,1,0,1,1,10,9100,0.0511,35.05,30
3,2,4549,9,12,0.1,9900,1,1,3,2,30,5500,0.1297,70,143
2,3,7212,6,12,0.0896,15500,1,1,3,1,15,9100,0.1297,71,87
3,2,3571,11,13,0.4,8500,1,0,1,1,10,5500,0.0951,21.03,20
1,2,550,4,8,0.086206897,17400,1,1,3,1,10,5500,0.0924,37.153,48.09
1,2,792,1,35,0.166666667,25200,1,1,2,1,40,5500,0.0618,3370.408,4991.18
4,1,5457,8,1,0.448,11900,0,1,1,1,0,8200,0.0229,2,1
3,2,814,13,13,0.4,7500,1,0,1,1,10,5500,0.0951,21.03,20
2,3,2757,5,30,0.172413793,16000,1,0,1,1,15,9100,0.0743,150,200
3,2,273,14,21,0.1,7050,0,1,2,1,20,5500,0.1104,98.14,100
2,3,2098,4,33,0.0831,16000,1,0,1,1,40,9100,0.0554,200,300
2,3,3221,2,9,0.0831,17500,0,1,2,1,10,9100,0.06,40,30
1,2,747,3,31,0.25862069,19300,1,1,3,1,30,5500,0.0996,171.044,353.83
1,2,5071,11,35,0.2579,9300,1,1,2,1,40,5500,0.0618,3180,4991.18
3,2,3995,5,30,0.01,13000,1,1,3,1,15,5500,0.0743,204,585
4,1,874,2,20,0.344827586,20000,1,1,3,1,25,8200,0.1143,246,950
3,2,1562,4,13,0.07,14800,0,1,2,1,10,5500,0.0951,35.05,40
4,1,2392,5,23,0.263157895,13800,1,1,3,1,15,8200,0.07,220,290
2,3,5772,7,30,0.172413793,14000,1,0,2,1,15,9100,0.0743,150,200
4,1,2632,6,15,0.065789474,13700,1,1,3,2,50,8200,0.1135,124,120
3,2,698,15,22,0.8,6600,1,1,3,2,10,5500,0.1233,24,188
2,3,1368,8,33,0.3584,12500,1,1,3,2,50,9100,0.0554,255,350
1,2,5071,11,17,0.1719,9300,1,1,3,2,20,5500,0.1275,110,167.16
3,2,9315,10,30,0.01,9700,1,1,3,1,15,5500,0.0743,204,585
2,3,1368,8,3,0.2688,12500,1,1,3,2,60,9100,0.0563,17,13
4,1,874,2,9,0.263157895,20000,1,0,1,1,15,8200,0.06,20,20
1,2,2315,9,5,0.1719,12000,1,0,2,1,10,5500,0.1053,37.854,40
3,2,457,2,5,0.69,17400,1,1,3,1,10,5500,0.1053,39,50
1,2,4414,8,20,0.7738,12500,1,0,1,1,15,5500,0.1143,90,60
2,3,2757,5,6,0.470559211,16000,0,1,1,1,10,9100,0.1249,24,38
2,3,2009,10,10,0.985663082,11900,0,1,1,1,10,9100,0.2342,40,50
2,3,5772,7,14,0.1108,14000,1,0,2,1,15,9100,0.1249,42.06,30
3,2,3571,11,32,0.4,8500,1,0,1,1,20,5500,0.0525,200,70
3,2,26,1,34,0.11,18400,1,1,3,1,35,5500,0.1934,1808,3162
1,2,1800,13,18,0.4299,8300,1,1,3,1,10,5500,0.1417,160,200
4,1,5457,8,15,0.065789474,11900,1,0,2,1,50,8200,0.1135,50,50
1,2,1516,5,20,0.344827586,16800,0,1,2,1,15,5500,0.1143,65,100
2,3,686,1,31,0.0896,19500,1,0,2,1,30,9100,0.0996,178.054,300
3,2,1523,3,4,0.1,15300,1,1,3,1,10,5500,0.12,56.08,50
2,3,2098,4,4,0.1724,16000,0,1,1,1,10,9100,0.1244,24.535,20
1,2,2213,6,21,0.431034483,15500,1,0,2,1,20,5500,0.1104,84.12,150
2,3,1604,9,12,0.0896,12400,1,1,3,1,15,9100,0.1297,51,71
1,2,350,2,26,0.166666667,23100,1,1,2,1,20,5500,0.0662,506.122,500
3,2,4549,9,33,0.1,9900,1,0,2,1,40,5500,0.0554,600,150
2,3,1368,8,4,0.1724,12500,0,1,1,1,10,9100,0.1244,24.535,20
4,1,874,2,35,0.394736842,20000,1,1,3,1,40,8200,0.0618,1445,4424
1,2,350,2,6,0.927083333,23100,1,1,3,1,10,5500,0.1249,50.472,67.56
1,2,4414,8,35,0.2579,12500,1,0,1,1,40,5500,0.0618,400,200
3,2,3571,11,6,0.8,8500,1,1,3,2,20,5500,0.1249,15,50
1,2,2031,10,31,0.1719,10700,1,1,3,1,30,5500,0.0996,171.044,353.83
1,2,550,4,31,0.25862069,17400,0,1,2,1,30,5500,0.0996,70.1,200
1,2,4414,8,32,0.001,12500,1,1,1,1,20,5500,0.0525,777,640
1,2,1800,13,11,0.4299,8300,1,1,1,1,15,5500,0.0552,90,98.05
2,3,2009,10,22,0.2688,11900,1,1,3,2,20,9100,0.1233,54,180
3,2,698,15,6,0.8,6600,0,1,2,1,10,5500,0.1249,14.02,30
3,2,457,2,31,0.07,17400,1,0,2,1,40,5500,0.0996,170,300
2,3,7212,6,3,0.2688,15500,1,1,3,1,40,9100,0.0563,60,23
2,3,1368,8,32,0.7168,12500,1,0,1,1,20,9100,0.0525,100,50
3,2,5937,7,34,0.11,11050,1,0,2,1,35,5500,0.1934,1706,1000
1,2,1516,5,5,0.1724,16800,1,0,2,1,10,5500,0.1053,37.854,40
3,2,814,13,10,0.6,7500,1,1,3,1,10,5500,0.2342,100,100
3,2,273,14,3,0.4,7050,1,0,1,1,5,5500,0.0563,25,10
3,2,9315,10,18,0.8,9700,1,0,1,1,20,5500,0.1417,50,70
1,2,2315,9,4,0.1719,12000,0,1,2,1,10,5500,0.1244,24.535,20
4,1,1289,9,27,0.065789474,11500,1,0,1,1,30,8200,0.4333,200,100
1,2,1924,12,17,0.1719,8700,1,1,3,1,10,5500,0.1275,110,167.16
2,3,3221,2,12,0.0896,17500,0,1,2,1,15,9100,0.1297,40,40
2,3,2009,10,7,0.1792,11900,1,1,1,1,10,9100,0.0511,41,50
3,2,1562,4,5,0.69,14800,1,1,3,2,10,5500,0.1053,39,50
2,3,2009,10,17,0.0831,11900,1,1,1,1,10,9100,0.1275,103.748,127
4,1,1055,3,34,0.263157895,15700,1,0,2,1,30,8200,0.1934,1500,750
2,3,107371,3,30,0.172413793,17000,1,1,3,1,15,9100,0.0743,220,800
3,2,3800,6,3,0.3,11500,1,0,2,1,5,5500,0.0563,25,10
3,2,273,14,7,0.2,7050,1,0,2,1,5,5500,0.0511,30,10
3,2,698,15,12,0.8,6600,1,0,2,1,10,5500,0.1297,30,30
3,2,3800,6,14,0.7,11500,0,1,1,1,15,5500,0.1249,42.06,60
2,3,2009,10,24,0.0896,11900,1,0,1,1,20,9100,0.1275,140.2,50
2,3,1368,8,13,0.0896,12500,1,1,2,1,10,9100,0.0951,122,267
2,3,1604,9,30,0.172413793,12400,1,0,2,1,15,9100,0.0743,150,200
2,3,2098,4,7,0.0831,16000,1,1,3,1,10,9100,0.0511,59,50
1,2,747,3,25,0.1719,19300,1,1,3,1,10,5500,0.0342,250,300
3,2,814,13,10,0.6,7500,1,1,3,2,20,5500,0.2342,100,100
2,3,1604,9,33,0.3584,12400,1,1,3,1,40,9100,0.0554,255,350
3,2,814,13,22,0.8,7500,1,0,2,1,5,5500,0.1233,24,30
1,2,2031,10,5,0.1719,10700,1,1,3,2,20,5500,0.1053,39,47
3,2,3003,12,16,0.2,7950,1,1,3,2,30,5500,0.0912,45,105
2,3,2009,10,6,1.064429012,11900,0,1,2,1,10,9100,0.1249,24,38
3,2,26,1,6,0.85,18400,0,1,2,1,10,5500,0.1249,14.02,30
1,2,4414,8,7,0.166666667,12500,1,0,2,1,10,5500,0.0511,20,20
3,2,457,2,32,0.05,17400,1,1,3,1,25,5500,0.0525,1200,1379
1,2,1924,12,18,0.4299,8700,1,1,3,2,20,5500,0.1417,160,200
2,3,5772,7,7,0.0831,14000,1,1,3,2,15,9100,0.0511,59,50
1,2,2213,6,22,0.166666667,15500,1,0,2,1,40,5500,0.1233,40,50
1,2,1516,5,13,0.0859,16800,1,1,3,1,10,5500,0.0951,39.957,98.27
4,1,2632,6,33,0.789473684,13700,1,1,3,2,50,8200,0.0554,869,1500
1,2,5071,11,17,0.1719,9300,0,1,1,1,10,5500,0.1275,45,70
1,2,747,3,7,0.166666667,19300,1,1,3,2,15,5500,0.0511,52.575,37.88
2,3,1604,9,35,0.0896,12400,1,0,2,1,40,9100,0.0618,487.195,70
3,2,273,14,14,0.8,7050,1,0,2,1,15,5500,0.1249,33,25
3,2,9315,10,9,0.17,9700,0,1,2,1,10,5500,0.06,35.05,70
1,2,2315,9,18,0.4299,12000,1,0,2,1,10,5500,0.1417,50,70
4,1,874,2,29,0.0277,20000,1,0,2,1,50,8200,0.1151,150,200
3,2,3995,5,22,0.8,13000,1,1,3,1,5,5500,0.1233,60,168
1,2,1951,7,4,0.1724,14300,0,1,1,1,10,5500,0.1244,24.535,20
2,3,2009,10,4,0.1724,11900,1,0,2,1,10,9100,0.1244,21.03,20
1,2,1951,7,9,0.25862069,14300,1,0,2,1,10,5500,0.06,53.276,50
3,2,3995,5,25,0.1719,13000,1,0,1,1,10,5500,0.0342,100,80
3,2,26,1,14,0.7,18400,1,1,3,2,50,5500,0.1249,91.23,125
4,1,1289,9,35,0.394736842,11500,1,1,3,1,40,8200,0.0618,1853,3720
2,3,686,1,13,0.0831,19500,0,1,2,1,10,9100,0.0951,200,150
3,2,1523,3,22,0.8,15300,1,0,2,1,5,5500,0.1233,108,120
3,2,9315,10,22,0.8,9700,1,1,3,1,5,5500,0.1233,60,168
1,2,1800,13,9,0.3439,8300,0,1,1,1,10,5500,0.06,30,70
2,3,2009,10,14,0.2688,11900,1,1,1,1,15,9100,0.1249,89.027,40
1,2,2031,10,11,0.4299,10700,1,0,1,1,15,5500,0.0552,40,60
3,2,3571,11,4,0.4,8500,1,0,2,1,10,5500,0.12,21.03,10
4,1,1289,9,20,0.344827586,11500,1,1,3,1,20,8200,0.1143,285,906
2,3,2009,10,21,0.2688,11900,1,1,3,2,40,9100,0.1104,35,65
1,2,1800,13,19,0.4299,8300,1,1,3,2,20,5500,0.1417,130,150
1,2,792,1,36,0.172413793,25200,1,0,1,1,120,5500,0.1,1752.5,1300
2,3,2757,5,20,0.344827586,16000,1,1,3,2,30,9100,0.1143,182,75
3,2,5937,7,6,0.47,11050,1,1,3,1,10,5500,0.1249,50.472,62.2
2,3,686,1,25,0.0277,19500,1,0,2,1,10,9100,0.0342,100,90
4,1,2720,7,32,0.263157895,12000,1,0,1,1,20,8200,0.0525,80,100
2,3,2098,4,30,0.172413793,16000,1,1,3,2,30,9100,0.0743,220,800
3,2,273,14,20,0.6,7050,1,0,2,1,20,5500,0.1143,30,20
1,2,1924,12,25,0.1719,8700,1,0,2,1,10,5500,0.0342,100,60
3,2,9315,10,25,0.1719,9700,1,0,2,1,10,5500,0.0342,100,60
1,2,792,1,24,0.0862,25200,1,1,3,1,10,5500,0.1275,233.433,250
4,1,1055,3,12,0.263157895,15700,1,1,3,1,10,8200,0.1297,71,110
4,1,2392,5,33,0.789473684,13800,1,0,1,1,30,8200,0.0554,200,500
2,3,2098,4,5,0.0554,16000,1,0,2,1,10,9100,0.1053,30,30
1,2,350,2,24,0.0862,23100,1,1,2,1,10,5500,0.1275,233.433,250
1,2,1951,7,33,0.172413793,14300,1,1,3,2,50,5500,0.0554,1073.231,1094
3,2,814,13,21,0.1,7500,1,0,2,1,20,5500,0.1104,70,50
1,2,1800,13,13,0.0859,8300,1,1,3,1,10,5500,0.0951,39.957,98.27
4,1,2632,6,6,0.858333333,13700,1,1,3,1,10,8200,0.1249,33,42
2,3,2757,5,21,0.0831,16000,1,0,1,1,20,9100,0.1104,35,180
4,1,2632,6,36,0.026315789,13700,1,0,1,1,150,8200,0.1,1000,950
3,2,1562,4,36,0.001,14800,1,1,3,1,100,5500,0.1,6120,7716
1,2,747,3,36,0.172413793,19300,1,0,1,1,120,5500,0.1,1402,750
4,1,1055,3,22,0.131578947,15700,1,1,3,1,10,8200,0.1233,187,250
4,1,2632,6,14,0.263157895,13700,1,0,2,1,15,8200,0.1249,40,50
2,3,1604,9,10,0.985663082,12400,1,1,3,2,20,9100,0.2342,60,90
1,2,2031,10,6,0.645833333,10700,1,1,1,1,10,5500,0.1249,15,25
2,3,1368,8,5,0.0896,12500,1,0,2,1,10,9100,0.1053,30,20
3,2,1562,4,3,0.3,14800,1,0,1,1,5,5500,0.0563,30,25
1,2,5071,11,6,0.645833333,9300,1,1,3,1,10,5500,0.1249,15,50
4,1,146,1,20,0.344827586,20500,1,0,1,1,25,8200,0.1143,100,110
4,1,2632,6,26,0.0896,13700,1,1,3,2,60,8200,0.0662,150,400
4,1,5457,8,15,0.065789474,11900,1,0,1,1,50,8200,0.1135,50,50
1,2,2031,10,17,0.1719,10700,1,1,2,1,10,5500,0.1275,110,170
2,3,3221,2,16,0.0554,17500,1,0,2,1,10,9100,0.0912,60,50
2,3,7212,6,5,0.0554,15500,1,1,2,1,10,9100,0.1053,50,35
4,1,1289,9,6,0.858333333,11500,1,1,3,1,10,8200,0.1249,33,42
4,1,874,2,26,0.0896,20000,1,1,3,1,30,8200,0.0662,253,540
1,2,5071,11,16,0.0859,9300,1,0,2,1,10,5500,0.0912,60,60
3,2,9315,10,11,0.02,9700,1,1,3,2,50,5500,0.0552,152,113
2,3,2757,5,29,0.0277,16000,1,1,3,2,70,9100,0.1151,200,300
4,1,1841,4,18,0.526315789,15000,1,0,2,1,20,8200,0.1417,110,70
3,2,698,15,32,0.4,6600,1,0,2,1,20,5500,0.0525,200,80
1,2,2315,9,17,0.1719,12000,0,1,2,1,10,5500,0.1275,45,70
2,3,3221,2,30,0.172413793,17500,1,0,2,1,15,9100,0.0743,150,200
1,2,747,3,2,1.874117232,19300,1,1,3,2,10,5500,0.03,10,10
4,1,2720,7,14,0.263157895,12000,1,1,3,2,30,8200,0.1249,43,300
4,1,1289,9,31,0.0896,11500,1,0,1,1,35,8200,0.0996,100,150
2,3,7212,6,21,0.0831,15500,0,1,2,1,20,9100,0.1104,35,140
3,2,26,1,36,0.001,18400,1,1,3,1,100,5500,0.1,6120,7716
4,1,1289,9,14,0.263157895,11500,1,0,1,1,15,8200,0.1249,40,40
3,2,5864,8,13,0.07,10450,1,1,3,2,20,5500,0.0951,39.957,110
2,3,686,1,3,0.2688,19500,1,1,3,2,60,9100,0.0563,60,23
2,3,107371,3,27,0.0277,17000,1,0,2,1,20,9100,0.4333,200,200
